game_id,date,division,team,opponent,home_away,points_for,points_against,result,margin,total_yards,pass_yards,rush_yards,plays,yards_per_play,first_downs,third_down_conv,third_down_att,third_down_pct,fourth_down_conv,fourth_down_att,turnovers,fumbles_lost,interceptions_thrown,penalties,penalty_yards,possession_time,possession_seconds,completions,pass_attempts,sacks_allowed,sack_yards_lost,rush_attempts,yards_per_rush,epa_per_play,success_rate,explosiveness,line_yards,pulled_at
401754564,2025-10-17,FBS,Louisville Cardinals,Miami Hurricanes,away,24,21,W,3,367,248,119,,,21,5,14,35.7,1,1,1,1,0,6,64,31:16,1876,23,37,,,31,3.8,,,,,2026-07-27T13:43:33
401754564,2025-10-17,FBS,Miami Hurricanes,Louisville Cardinals,home,21,24,L,-3,334,271,63,,,15,5,12,41.7,1,2,4,0,4,9,67,28:44,1724,25,35,,,24,2.6,,,,,2026-07-27T13:43:33
401752872,2025-10-17,FBS,Nebraska Cornhuskers,Minnesota Golden Gophers,away,6,24,L,-18,213,177,36,,,13,3,11,27.3,0,1,0,0,0,6,65,28:01,1681,17,25,,,29,1.2,,,,,2026-07-27T13:43:34
401752872,2025-10-17,FBS,Minnesota Golden Gophers,Nebraska Cornhuskers,home,24,6,W,18,339,153,186,,,18,5,12,41.7,0,0,0,0,0,3,30,31:59,1919,16,20,,,35,5.3,,,,,2026-07-27T13:43:34
401760396,2025-10-17,FBS,San José State Spartans,Utah State Aggies,away,25,30,L,-5,534,340,194,,,23,9,17,52.9,1,4,1,1,0,8,65,30:13,1813,27,50,,,27,7.2,,,,,2026-07-27T13:43:34
401760396,2025-10-17,FBS,Utah State Aggies,San José State Spartans,home,30,25,W,5,461,331,130,,,19,5,16,31.2,2,3,0,0,0,6,65,29:47,1787,23,32,,,38,3.4,,,,,2026-07-27T13:43:34
401754371,2025-10-17,FBS,North Carolina Tar Heels,California Golden Bears,away,18,21,L,-3,287,167,120,,,18,5,14,35.7,2,2,3,3,0,4,46,31:10,1870,19,35,,,29,4.1,,,,,2026-07-27T13:43:35
401754371,2025-10-17,FBS,California Golden Bears,North Carolina Tar Heels,home,21,18,W,3,294,214,80,,,19,6,16,37.5,2,2,0,0,0,9,79,28:50,1730,22,40,,,31,2.6,,,,,2026-07-27T13:43:35
